TransactionID,device_id
3000001,D006601
3000003,D000014
3000004,D000014
3000008,D007042
3000013,D007134
3000014,D000001
3000016,D003913
3000018,D000014
3000019,D008832
3000028,D005628
3000029,D005628
3000038,D008831
3000044,D007042
3000057,D003899
3000061,D007042
3000063,D003289
3000064,D003298
3000065,D008835
3000075,D008848
3000077,D000012
3000078,D000052
3000079,D000047
3000084,D000036
3000086,D008683
3000087,D008683
3000090,D008835
3000093,D000049
3000095,D000014
3000101,D008683
3000102,D008835
3000103,D008683
3000105,D008621
3000107,D008683
3000113,D000052
3000120,D000013
3000123,D000499
3000127,D007042
3000128,D007154
3000135,D006762
3000138,D007042
3000139,D007737
3000150,D008707
3000152,D008832
3000155,D008526
3000156,D003727
3000158,D008832
3000164,D007042
3000171,D005626
3000172,D002062
3000174,D006771
3000175,D002959
3000178,D007042
3000179,D006859
3000181,D005762
3000182,D004537
3000184,D000052
3000186,D007042
3000190,D003873
3000192,D000052
3000195,D000052
3000196,D007041
3000197,D006565
3000202,D000001
3000204,D004751
3000205,D007145
3000212,D008846
3000216,D007154
3000217,D007042
3000220,D003275
3000225,D002727
3000226,D002954
3000227,D001045
3000228,D003298
3000229,D008216
3000230,D008841
3000232,D007041
3000234,D000012
3000237,D000885
3000239,D007154
3000240,D000162
3000242,D007041
3000245,D008841
3000247,D007042
3000250,D007042
3000256,D007154
3000264,D006749
3000265,D007145
3000267,D007154
3000272,D003298
3000274,D000049
3000275,D006749
3000280,D000049
3000284,D004300
3000291,D000014
3000293,D008831
3000296,D002831
3000299,D007154
3000303,D004808
3000305,D000014
3000306,D007154
3000312,D007042
3000314,D000792
3000316,D008831
3000317,D007042
3000319,D008791
3000321,D000049
3000322,D004660
3000333,D000049
3000365,D008807
3000366,D005823
3000381,D005227
3000391,D007744
3000400,D008771
3000403,D006163
3000447,D000810
3000511,D002727
3000519,D003828
3000581,D003166
3000586,D003166
3000591,D006816
3000609,D008806
3000613,D002018
3000622,D002018
3000629,D008809
3000632,D007737
3000639,D003268
3000645,D006838
3000648,D008855
3000649,D008855
3000681,D007555
3000683,D008831
3000691,D000001
3000693,D006749
3000694,D008772
3000705,D007145
3000715,D009357
3000718,D003146
3000722,D003166
3000733,D009357
3000736,D007042
3000737,D009083
3000741,D009527
3000765,D008835
3000766,D000012
3000768,D007052
3000769,D003365
3000778,D003302
3000780,D008835
3000781,D007147
3000784,D008832
3000791,D008835
3000795,D005996
3000805,D007042
3000812,D006880
3000813,D007551
3000815,D007042
3000821,D008071
3000833,D008071
3000834,D008071
3000838,D008835
3000845,D008726
3000857,D006880
3000862,D007154
3000871,D008831
3000872,D009067
3000876,D007741
3000880,D007150
3000886,D008835
3000889,D000001
3000891,D008261
3000893,D007145
3000895,D003372
3000899,D000047
3000901,D008076
3000903,D007987
3000904,D004283
3000911,D008832
3000916,D007120
3000922,D007042
3000932,D001770
3000942,D006842
3000943,D000025
3000945,D007042
3000953,D007730
3000956,D002958
3000960,D001447
3000967,D007737
3000973,D006747
3000975,D001296
3000981,D007745
3000987,D005251
3000989,D005251
3000998,D003789
3001002,D007415
3001004,D000001
3001006,D007145
3001011,D006838
3001021,D002722
3001024,D000331
3001039,D007730
3001041,D007042
3001046,D007154
3001059,D007150
3001073,D004741
3001083,D003357
3001089,D008642
3001092,D006816
3001098,D002846
3001102,D000014
3001116,D003366
3001123,D007930
3001128,D007424
3001159,D002179
3001160,D008835
3001172,D007730
3001174,D006828
3001176,D007730
3001180,D004461
3001181,D002720
3001184,D008706
3001185,D003277
3001202,D000001
3001209,D000051
3001213,D004019
3001225,D000049
3001229,D004461
3001238,D007120
3001244,D007468
3001248,D000049
3001253,D007042
3001257,D000001
3001264,D007042
3001274,D008841
3001276,D007067
3001277,D007436
3001279,D007555
3001286,D008774
3001287,D002723
3001297,D006849
3001298,D007169
3001303,D000177
3001307,D000014
3001308,D008834
3001327,D008707
3001335,D003650
3001336,D008844
3001338,D007439
3001339,D008844
3001340,D008653
3001343,D003373
3001355,D006779
3001358,D003685
3001369,D006168
3001377,D008844
3001381,D008844
3001382,D000049
3001384,D006801
3001385,D007145
3001386,D007042
3001388,D008844
3001393,D007744
3001397,D007134
3001398,D008834
3001399,D007932
3001402,D000810
3001406,D003685
3001408,D003361
3001410,D008844
3001411,D007744
3001413,D009419
3001414,D008193
3001415,D006768
3001425,D007443
3001433,D007042
3001439,D000001
3001447,D008082
3001454,D008073
3001479,D005251
3001480,D005242
3001485,D000047
3001492,D007147
3001498,D001256
3001500,D006816
3001501,D008724
3001509,D008832
3001514,D003358
3001518,D007061
3001522,D007061
3001526,D007174
3001528,D007042
3001533,D008390
3001536,D003268
3001538,D009467
3001546,D007042
3001555,D007744
3001561,D007737
3001563,D007744
3001565,D008773
3001574,D007551
3001577,D009502
3001590,D009463
3001593,D007154
3001599,D003172
3001605,D000049
3001610,D008837
3001611,D007926
3001619,D006779
3001621,D007549
3001628,D007658
3001633,D008832
3001634,D006859
3001635,D009150
3001637,D007548
3001639,D007738
3001645,D007042
3001646,D002724
3001647,D007042
3001650,D008859
3001651,D000049
3001657,D007165
3001664,D008858
3001667,D001731
3001668,D009160
3001672,D000049
3001689,D007042
3001694,D007042
3001699,D000049
3001700,D000097
3001701,D005762
3001702,D009063
3001711,D003873
3001712,D000014
3001713,D002753
3001718,D008841
3001719,D006859
3001724,D008774
3001728,D005396
3001730,D007138
3001740,D007042
3001745,D008835
3001747,D007042
3001750,D005762
3001753,D003150
3001769,D009294
3001772,D003023
3001784,D003166
3001796,D007439
3001798,D003023
3001814,D002124
3001815,D000024
3001820,D006747
3001837,D007543
3001846,D007042
3001851,D002124
3001853,D002720
3001854,D007551
3001865,D000177
3001866,D003275
3001879,D000014
3001887,D007439
3001892,D008742
3001905,D000001
3001907,D005140
3001913,D008832
3001918,D008835
3001919,D008774
3001920,D008742
3001925,D000014
3001945,D005389
3001949,D008835
3001955,D008843
3001957,D000049
3001958,D000098
3001959,D009063
3001961,D002837
3001968,D007424
3001969,D007424
3001973,D000049
3001984,D000047
3001986,D002828
3001990,D008817
