card_id,customer_id
C00001-K1,C00001
C00002-K1,C00002
C00003-K1,C00003
C00004-K1,C00004
C00005-K1,C00005
C00006-K1,C00006
C00007-K1,C00007
C00008-K1,C00008
C00008-K2,C00008
C00009-K1,C00009
C00010-K1,C00010
C00011-K1,C00011
C00012-K1,C00012
C00013-K1,C00013
C00014-K1,C00014
C00015-K1,C00015
C00015-K2,C00015
C00016-K1,C00016
C00017-K1,C00017
C00018-K1,C00018
C00019-K1,C00019
C00020-K1,C00020
C00021-K1,C00021
C00022-K1,C00022
C00023-K1,C00023
C00024-K1,C00024
C00025-K1,C00025
C00026-K1,C00026
C00027-K1,C00027
C00028-K1,C00028
C00029-K1,C00029
C00030-K1,C00030
C00031-K1,C00031
C00031-K2,C00031
C00032-K1,C00032
C00033-K1,C00033
C00034-K1,C00034
C00035-K1,C00035
C00036-K1,C00036
C00037-K1,C00037
C00038-K1,C00038
C00039-K1,C00039
C00040-K1,C00040
C00041-K1,C00041
C00042-K1,C00042
C00043-K1,C00043
C00044-K1,C00044
C00045-K1,C00045
C00046-K1,C00046
C00047-K1,C00047
C00048-K1,C00048
C00049-K1,C00049
C00050-K1,C00050
C00051-K1,C00051
C00052-K1,C00052
C00053-K1,C00053
C00054-K1,C00054
C00055-K1,C00055
C00056-K1,C00056
C00057-K1,C00057
C00057-K2,C00057
C00058-K1,C00058
C00059-K1,C00059
C00059-K2,C00059
C00060-K1,C00060
C00061-K1,C00061
C00062-K1,C00062
C00063-K1,C00063
C00064-K1,C00064
C00065-K1,C00065
C00066-K1,C00066
C00067-K1,C00067
C00068-K1,C00068
C00069-K1,C00069
C00069-K2,C00069
C00070-K1,C00070
C00071-K1,C00071
C00072-K1,C00072
C00072-K2,C00072
C00073-K1,C00073
C00073-K2,C00073
C00074-K1,C00074
C00075-K1,C00075
C00076-K1,C00076
C00077-K1,C00077
C00078-K1,C00078
C00078-K2,C00078
C00079-K1,C00079
C00080-K1,C00080
C00081-K1,C00081
C00081-K2,C00081
C00082-K1,C00082
C00083-K1,C00083
C00084-K1,C00084
C00085-K1,C00085
C00086-K1,C00086
C00087-K1,C00087
C00088-K1,C00088
C00089-K1,C00089
C00090-K1,C00090
C00091-K1,C00091
C00092-K1,C00092
C00093-K1,C00093
C00094-K1,C00094
C00094-K2,C00094
C00094-K3,C00094
C00094-K4,C00094
C00095-K1,C00095
C00096-K1,C00096
C00097-K1,C00097
C00098-K1,C00098
C00099-K1,C00099
C00100-K1,C00100
C00101-K1,C00101
C00102-K1,C00102
C00103-K1,C00103
C00104-K1,C00104
C00105-K1,C00105
C00106-K1,C00106
C00107-K1,C00107
C00107-K2,C00107
C00108-K1,C00108
C00109-K1,C00109
C00110-K1,C00110
C00111-K1,C00111
C00112-K1,C00112
C00113-K1,C00113
C00114-K1,C00114
C00115-K1,C00115
C00116-K1,C00116
C00117-K1,C00117
C00118-K1,C00118
C00119-K1,C00119
C00120-K1,C00120
C00121-K1,C00121
C00122-K1,C00122
C00123-K1,C00123
C00124-K1,C00124
C00125-K1,C00125
C00126-K1,C00126
C00127-K1,C00127
C00128-K1,C00128
C00129-K1,C00129
C00129-K2,C00129
C00130-K1,C00130
C00131-K1,C00131
C00132-K1,C00132
C00133-K1,C00133
C00134-K1,C00134
C00135-K1,C00135
C00136-K1,C00136
C00137-K1,C00137
C00138-K1,C00138
C00139-K1,C00139
C00140-K1,C00140
C00141-K1,C00141
C00142-K1,C00142
C00143-K1,C00143
C00143-K2,C00143
C00144-K1,C00144
C00145-K1,C00145
C00146-K1,C00146
C00147-K1,C00147
C00148-K1,C00148
C00149-K1,C00149
C00150-K1,C00150
C00151-K1,C00151
C00152-K1,C00152
C00153-K1,C00153
C00154-K1,C00154
C00155-K1,C00155
C00156-K1,C00156
C00156-K2,C00156
C00157-K1,C00157
C00158-K1,C00158
C00159-K1,C00159
C00160-K1,C00160
C00161-K1,C00161
C00162-K1,C00162
C00163-K1,C00163
C00164-K1,C00164
C00164-K2,C00164
C00165-K1,C00165
C00166-K1,C00166
