device_id,device_info,device_os,device_browser,device_screen,device_type
D000001,,,,,desktop
D000002,,,android browser 4.0,,mobile
D000003,,,android webview 4.0,,mobile
D000004,,,chrome 49.0,,desktop
D000005,,,chrome 51.0,,desktop
D000006,,,chrome 55.0,,desktop
D000007,,,chrome 56.0,,desktop
D000008,,,chrome 57.0,,desktop
D000009,,,chrome 58.0,,desktop
D000010,,,chrome 59.0,,desktop
D000011,,,chrome 60.0,,desktop
D000012,,,chrome 61.0,,desktop
D000013,,,chrome 62.0 for ios,,mobile
D000014,,,chrome 62.0,,desktop
D000015,,,chrome 63.0 for ios,,mobile
D000016,,,chrome 63.0,,desktop
D000017,,,chrome 64.0 for ios,,mobile
D000018,,,chrome 64.0,,desktop
D000019,,,chrome 65.0 for ios,,mobile
D000020,,,chrome 65.0,,desktop
D000021,,,chrome 66.0 for ios,,mobile
D000022,,,chrome 66.0,,desktop
D000023,,,chrome 67.0,,desktop
D000024,,,chrome generic,,desktop
D000025,,,chrome,,desktop
D000026,,,comodo,,desktop
D000027,,,edge 14.0,,desktop
D000028,,,edge 15.0,,desktop
D000029,,,edge 16.0,,desktop
D000030,,,facebook,,mobile
D000031,,,firefox 47.0,,desktop
D000032,,,firefox 48.0,,desktop
D000033,,,firefox 52.0,,desktop
D000034,,,firefox 55.0,,desktop
D000035,,,firefox 56.0,,desktop
D000036,,,firefox 57.0,,desktop
D000037,,,firefox 58.0,,desktop
D000038,,,firefox 59.0,,desktop
D000039,,,firefox 60.0,,desktop
D000040,,,firefox,,desktop
D000041,,,google search application 48.0,,mobile
D000042,,,google search application 49.0,,mobile
D000043,,,google,,mobile
D000044,,,iron,,desktop
D000045,,,line,,mobile
D000046,,,maxthon,,desktop
D000047,,,mobile safari 10.0,,mobile
D000048,,,mobile safari 10.0,2208x1242,mobile
D000049,,,mobile safari 11.0,,mobile
D000050,,,mobile safari 8.0,,mobile
D000051,,,mobile safari 9.0,,mobile
D000052,,,mobile safari generic,,mobile
D000053,,,mobile safari generic,2208x1242,mobile
D000054,,,mobile safari uiwebview,,mobile
D000055,,,mobile,,mobile
D000056,,,opera 49.0,,desktop
D000057,,,opera 51.0,,desktop
D000058,,,opera 52.0,,desktop
D000059,,,opera 53.0,,desktop
D000060,,,opera generic,,desktop
D000061,,,opera,,desktop
D000062,,,other,,mobile
D000063,,,safari 10.0,,desktop
D000064,,,safari 11.0,,desktop
D000065,,,safari 9.0,,desktop
D000066,,,safari generic,,desktop
D000067,,,safari generic,1136x640,desktop
D000068,,,safari generic,2048x1536,desktop
D000069,,,safari,,desktop
D000070,,,samsung browser 6.2,,mobile
D000071,,,samsung browser 7.0,,mobile
D000072,,Android 6.0.1,android webview 4.0,1920x1080,mobile
D000073,,Android 7.1.1,android webview 4.0,,mobile
D000074,,Android 8.0.0,android webview 4.0,2220x1080,mobile
D000075,,Android,,855x480,mobile
D000076,,Android,chrome 56.0,1280x720,mobile
D000077,,Android,chrome 56.0,1920x1080,mobile
D000078,,Android,chrome 56.0,855x480,mobile
D000079,,Android,chrome 58.0,801x480,mobile
D000080,,Android,chrome 58.0,960x540,mobile
D000081,,Android,chrome 59.0,1280x720,mobile
D000082,,Android,chrome 59.0,1366x768,mobile
D000083,,Android,chrome 60.0,1920x1080,mobile
D000084,,Android,chrome 60.0,855x480,mobile
D000085,,Android,chrome 60.0,960x540,mobile
D000086,,Android,chrome 61.0,1280x720,mobile
D000087,,Android,chrome 61.0,1366x768,mobile
D000088,,Android,chrome 61.0,1920x1080,mobile
D000089,,Android,chrome 61.0,2400x1350,mobile
D000090,,Android,chrome 61.0,855x480,mobile
D000091,,Android,chrome 61.0,960x540,mobile
D000092,,Android,chrome 62.0,,mobile
D000093,,Android,chrome 62.0,1280x720,mobile
D000094,,Android,chrome 62.0,1280x800,mobile
D000095,,Android,chrome 62.0,1366x768,mobile
D000096,,Android,chrome 62.0,1536x864,mobile
D000097,,Android,chrome 62.0,1920x1080,mobile
D000098,,Android,chrome 62.0,2560x1440,mobile
D000099,,Android,chrome 62.0,801x480,mobile
D000100,,Android,chrome 62.0,855x480,mobile
D000101,,Android,chrome 62.0,960x540,mobile
D000102,,Android,chrome 63.0,,mobile
D000103,,Android,chrome 63.0,1280x720,mobile
D000104,,Android,chrome 63.0,1366x768,mobile
D000105,,Android,chrome 63.0,1920x1080,mobile
D000106,,Android,chrome 63.0,2560x1440,mobile
D000107,,Android,chrome 63.0,2560x1600,mobile
